Image_Name;Preprocessing;Filter;MSE;SSIM;PSNR;FOM;AUC-ROC;Save_Path
image_part_001.jpg;None;Canny;8043,8282;0,0718;9,0762;0,1222;0,5397;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_None_Canny.jpg
image_part_001.jpg;None;Directional;5035,6653;0,0999;11,1102;0,162;0,5281;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_None_Directional.jpg
image_part_001.jpg;None;Pruitt;3112,475;0,2783;13,1997;0,1888;0,558;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_None_Pruitt.jpg
image_part_001.jpg;None;Harris;6875,82;0,0163;9,7576;0,2699;0,4888;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_None_Harris.jpg
image_part_001.jpg;None;FAST;7134,2755;0,0136;9,5973;0,102;0,5556;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_None_FAST.jpg
image_part_001.jpg;White Balance;Canny;8054,3945;0,0721;9,0705;0,1216;0,5402;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_White Balance_Canny.jpg
image_part_001.jpg;White Balance;Directional;5035,109;0,1024;11,1107;0,1578;0,5283;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_White Balance_Directional.jpg
image_part_001.jpg;White Balance;Pruitt;3117,9323;0,2811;13,1921;0,1828;0,5582;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_White Balance_Pruitt.jpg
image_part_001.jpg;White Balance;Harris;6894,2749;0,0191;9,7459;0,2578;0,4914;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_White Balance_Harris.jpg
image_part_001.jpg;White Balance;FAST;7165,7977;0,0146;9,5782;0,0993;0,559;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_White Balance_FAST.jpg
image_part_001.jpg;Histogram Equalization;Canny;10125,3609;0,0157;8,0767;0,0659;0,6162;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_Histogram Equalization_Canny.jpg
image_part_001.jpg;Histogram Equalization;Directional;6779,2896;0,0131;9,819;0,0609;0,5906;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_Histogram Equalization_Directional.jpg
image_part_001.jpg;Histogram Equalization;Pruitt;7655,4144;0,0148;9,2911;0,0617;0,7365;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_Histogram Equalization_Pruitt.jpg
image_part_001.jpg;Histogram Equalization;Harris;9966,7895;0,001;8,1453;0,0672;0,6296;D:\Новая папка\Uni 2 course  1 semestr\КГВ\STEM\images\image_part_001_Histogram Equalization_Harris.jpg
